ID,Category,Clause / Finding Description,Violation Type,Relevant Law / Statute,Label,Source Name,Source URL,Notes
L1_256,General Terms of Service,"we may take any of these actions at any time , and when we do , we will try to notify you beforehand , but this wo n't always be possible . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_257,General Terms of Service,"third-party links , sites , and services ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_258,General Terms of Service,"in addition , you will be subject to late fees . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_259,General Terms of Service,"if a fault occurs in the products , please report it to us at help@headspace.com and we will review your complaint and , where we determine it is appropriate to do so , correct the fault . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_260,General Terms of Service,"you may submit feedback by emailing us , through the `` contact '' section of the airbnb platform , or by other means of communication . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_261,General Terms of Service,what else do i need to know ? ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_262,General Terms of Service,discovery will be permitted pursuant to the applicable arbitration rules . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_263,General Terms of Service,"but if you volunteer feedback or suggestions , just know that we can use your ideas without compensating you . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_264,General Terms of Service,"tripadvisor takes no responsibility and assumes no liability for any content posted , stored or uploaded by you or any third party , or for any loss or damage thereto , nor is tripadvisor liable for any mistakes , defamation , slander , libel , omissions , falsehoods , obscenity , pornography or profanity you may encounter . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_265,General Terms of Service,"if you do not accept these terms , do not create an account or use the fitbit service . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_266,General Terms of Service,"copyright , trademark and other laws of the united states and foreign countries protect the service and the linden marks . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_267,General Terms of Service,"`` member '' means a person who completes academia.edu 's account registration process , as described under the `` account registration '' section below . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_268,General Terms of Service,"you and supercell agree that if any portion of these terms of service or of the supercell privacy policy is found illegal or unenforceable , in whole or in part by any court of competent jurisdiction , such provision shall , as to such jurisdiction , be ineffective solely to the extent of such determination of invalidity or unenforceability without affecting the validity or enforceability thereof in any other manner or jurisdiction and without affecting the remaining provisions of the terms , which shall continue to be in full force and effect . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_269,General Terms of Service,"in addition , airbnb may ( i ) keep the calendar for the listing unavailable or blocked for the dates of the cancelled booking , and/or ( ii ) impose a cancellation fee , unless the host has a valid reason for cancelling the booking pursuant to airbnb 's extenuating circumstances policy or has legitimate concerns about the guest 's behavior . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_270,General Terms of Service,"oculus has no responsibility or liability for user content made available through the services , and we have no obligation to screen , edit or monitor such content . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_271,General Terms of Service,"airbnb is not acting as an agent in any capacity for any member , except as specified in the payments terms . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_272,General Terms of Service,"you may send a copy to ebay at the following address : ebay , inc. c/o ct corporation system , 1108 e south union ave. , midvale , ut 84047 . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_273,General Terms of Service,"so if you apply for a job through our service or opt to signal that you are interested in a job , our default is to share it only with the job poster . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_274,General Terms of Service,"the arbitration will be administered by the american arbitration association ( `` aaa '' ) in accordance with the commercial arbitration rules and the supplementary procedures for consumer related disputes ( the `` aaa rules '' ) then in effect , except as modified by this `` dispute resolution '' section . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_275,General Terms of Service,"5.4 subject to your compliance with these terms , airbnb grants you a limited , non-exclusive , non-sublicensable , revocable , non-transferable license to ( i ) download and use the application on your personal device ( s ) ; and ( ii ) access and view any collective content made available on or through the airbnb platform and accessible to you , solely for your personal and non-commercial use . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_276,General Terms of Service,"by installing , using or otherwise accessing the service , you agree to these terms of service . ",Unfair Contract Terms,CLAUDETTE Benchmark (Unfair TOS),High-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_277,General Terms of Service,duolingo shall have no liability to you or any third party in the event that duolingo exercises any such rights . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_278,General Terms of Service,"damage to accommodations , disputes between members ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_279,General Terms of Service,so it 's important that you keep your account secure . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_280,General Terms of Service,"to the extent permitted by the applicable law , payments are non-refundable and we do not provide refunds or credits for any partial-month membership periods or unwatched netflix content . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_281,General Terms of Service,"while we try to offer reliable data , we can not promise that the catalogs or other content provided through the services will always be available , accurate , complete , and up-to-date . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_282,General Terms of Service,"if , however , this waiver of class or consolidated actions is deemed invalid or unenforceable , neither you nor headspace are entitled to arbitration ; instead all claims and disputes will be resolved in a court as set forth in section 13.13 below . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_283,General Terms of Service,"although snap group limited reserves the right to review all content that appears on the services and to remove any content that violates these terms , we do not necessarily review all of it . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_284,General Terms of Service,nintendo may change the terms and conditions of this agreement at any time so far as this is necessary or helpful to enhance the service or to adapt it to reflect changes in technical or legal requirements . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_285,General Terms of Service,the terms of sale are incorporated into and made a part of these terms . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_286,General Terms of Service,"the tripadvisor media group companies make no representations of any kind about the suitability of the information , software , products , and services contained on this website ( site content ) or any portion therof for any purpose , and the inclusion or offering of any products or services on this website does not constitute any endorsement or recommendation of such products or services by the tripadvisor media group companies . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_287,General Terms of Service,"you may not : ( i ) remove any copyright , trademark or other proprietary notices from any portion of the services ; ( ii ) reproduce , modify , prepare derivative works based upon , distribute , license , lease , sell , resell , transfer , publicly display , publicly perform , transmit , stream , broadcast or otherwise exploit the services except as expressly permitted by uber ; ( iii ) decompile , reverse engineer or disassemble the services except as may be permitted by applicable law ; ( iv ) link to , mirror or frame any portion of the services ; ( v ) cause or launch any programs or scripts for the purpose of scraping , indexing , surveying , or otherwise data mining any portion of the services or unduly burdening or hindering the operation and/or functionality of any aspect of the services ; or ( vi ) attempt to gain unauthorized access to or impair any aspect of the services or its related systems or networks . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_288,General Terms of Service,10.2 exceptions to requirement to arbitrate . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_289,General Terms of Service,all of your purchases of services are subject to linkedin 's refund policy . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_290,General Terms of Service,"for more information about how to tailor who can watch your content , please take a look at our privacy policy and support site . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_291,General Terms of Service,"we may not monitor or control the content posted via the services and , we can not take responsibility for such content . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_292,General Terms of Service,"we may change our service plans and the price of our service from time to time ; however , any price changes or changes to our service plans will apply to you no earlier than 30 days following notice to you . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_293,General Terms of Service,"all information that you provide in connection with a purchase or transaction or other monetary transaction interaction with the service must be accurate , complete , and current . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_294,General Terms of Service,"to maintain control over the account and to prevent anyone from accessing the account ( which would include information on viewing history for the account ) , the account owner should maintain control over the netflix ready devices that are used to access the service and not reveal the password nor details of the payment method associated with the account to anyone . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_295,General Terms of Service,"accordingly , some of the above disclaimers may not apply to you . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_296,General Terms of Service,"crowdtangle does not make any representations , warranties or conditions about the quality , accuracy , security , reliability , completeness , quiet enjoyment , currency , or timeliness of the services . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_297,General Terms of Service,"you may only use the services to : ( a ) access content on crowdtangle 's platform ; and ( b ) access , manage and obtain content from other platforms ( e.g. , twitter , facebook ) in accordance with these terms of service and any terms specified by those other platforms . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_298,General Terms of Service,create a member profile for anyone other than yourself ( a real person ) ; ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_299,General Terms of Service,"those who access the service from other locations are doing so on their own initiative and are responsible for compliance with applicable local laws regarding your online conduct and acceptable content , if and to the extent local laws apply . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_300,General Terms of Service,"linden lab hereby grants you a non-exclusive , non-transferable , non-sublicenseable , limited , personal , revocable license to access and use the service on an internet device as set forth in these terms and expressly conditioned upon you and each of your accounts remaining active , in good standing , and in compliance with these terms . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_301,General Terms of Service,"if you are acting as a business , you agree to submit to the exclusive jurisdiction of the irish courts . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_302,General Terms of Service,"• use our services if you are not able to form legally binding contracts ( for example , if you are under 18 years old ) , or are temporarily or indefinitely suspended from using our sites , services , applications or tools ; ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_303,General Terms of Service,such termination or suspension may be immediate and without notice . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_304,General Terms of Service,you may not assign or otherwise transfer your account to any other person or entity . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_305,General Terms of Service,"we may include or recommend third party resources , materials and developers and/or links to third party websites , content and applications as part of , or in connection with , the service . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_306,General Terms of Service,you are responsible for obtaining the data network access necessary to use the services . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_307,General Terms of Service,this email address may be updated as part of any update to these terms of service . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_308,General Terms of Service,"if vimeo deletes your account for the foregoing reasons , you may not re-register for the vimeo service . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_309,General Terms of Service,"our arbitration proceedings would be conducted by the american arbitration association ( `` aaa '' ) under its rules and procedures applicable at that time , including the aaa 's supplementary procedures for consumer-related disputes ( to the extent applicable ) , as modified by our arbitration agreement . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_310,General Terms of Service,your access to and use of the services or any content are at your own risk . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_311,General Terms of Service,"for further information on vacation rental fees , security deposits , payment processing , and cancellations and refunds , please consult the terms of use of our affiliate sites . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_312,General Terms of Service,"by submitting any course contributor material , you grant us a fully paid up , royalty-free , perpetual , sublicensable license to reproduce , display , perform , modify , create derivative works of , distribute and otherwise use such course contributor material in any manner . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_313,General Terms of Service,the limitations specified in this section will survive and apply even if any limited remedy specified in these terms is found to have failed of its essential purpose . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_314,General Terms of Service,identify the copyrighted work claimed to have been infringed . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_315,General Terms of Service,"and while we 'll try to give you advance notice , we ca n't guarantee it . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_316,General Terms of Service,"in such event , you will not be entitled to compensation for such suspension or termination , and you acknowledge that linden lab will have no liability to you in connection with such suspension or termination . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_317,General Terms of Service,"if you change the country registered with your nintendo account , you must agree to the nintendo account agreement applicable for the new country . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_318,General Terms of Service,"on some occasions , you may be purchasing products or service subscriptions from an authorized reseller . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_319,General Terms of Service,"by agreeing to these terms and electing to purchase a subscription , you acknowledge that your subscription has recurring payment features and you accept responsibility for all recurring payment obligations prior to cancellation of your subscription by you or academia.edu . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_320,General Terms of Service,you agree not to submit any content as user material in which you have any expectation of privacy . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_321,General Terms of Service,ncl grants to you a personal licence to use the nintendo intellectual property as far as this is necessary to use your nintendo account in compliance with the terms of this agreement . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_322,General Terms of Service,"for product purchases pending dispatch , you can update your information at any time prior to dispatch at https://shop.oculus.com/history . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_323,General Terms of Service,"if you and ebay are unable to resolve the claims described in the notice within 30 days after the notice is sent , you or ebay may initiate arbitration proceedings . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_324,General Terms of Service,our feedback and submissions policy is also part of the terms . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_325,General Terms of Service,"except for the foregoing limited license , no right , title or interest shall be transferred to you . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_326,General Terms of Service,the arbitrator 's award damages must be consistent with the terms of the `` limitation of liability '' section above as to the types and the amounts of damages for which a party may be held liable . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_327,General Terms of Service,"at linden lab 's request , you agree to defend , indemnify and hold harmless linden lab , its officers , directors , shareholders , employees , subsidiaries , and agents from all damages , liabilities , claims and expenses , including without limitation attorneys ' fees and costs , arising from : ( i ) your user content ; ( ii ) your acts , omissions , or use of the service , including without limitation your negligent , willful or illegal conduct ; ( iii ) your breach or alleged breach by you of this agreement , including without limitation your representations and warranties relating to your content ; ( iv ) your violation or anticipatory violation of any applicable law , rule or order in connection with your use of or activities in the service ; ( v ) information or material transmitted through your internet device that infringes or misappropriates any intellectual property right ; ( vi ) any misrepresentation made by you ; ( vii ) linden lab 's use of the information that you submit to us ; ( viii ) your purported `` ownership '' of any usage subscriptions or virtual items ; or ( ix ) the increase or decrease in `` value '' or loss of usage subscriptions or virtual items if linden lab deletes , terminates , or modifies them ( all of the foregoing , `` claims and losses '' ) . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_328,General Terms of Service,any delivery dates or times provided by us ( or a courier ) are estimates only and are not guaranteed . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_329,General Terms of Service,4.4 linden lab has no obligation to accept returns or provide refunds of any amounts paid for products or services purchased from linden lab . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_330,General Terms of Service,twitter 's failure to enforce any right or provision of these terms will not be deemed a waiver of such right or provision . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_331,General Terms of Service,we may suspend or terminate your use of the products as a result of your fraud or breach of any obligation under these terms . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_332,General Terms of Service,"you agree to defend and indemnify tripadvisor and its affiliates and any of their officers , directors , employees and agents from and against any claims , causes of action , demands , recoveries , losses , damages , fines , penalties or other costs or expenses of any kind or nature including but not limited to reasonable legal and accounting fees , brought by third parties as a result of : ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_333,General Terms of Service,"( v ) post , display , or transmit content that is obscene , hateful , involves terrorism , or is racially , ethnically or otherwise objectionable ; or ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_334,General Terms of Service,tripadvisor does not knowingly collect the information of anyone under the age of 13 . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
L1_335,General Terms of Service,"google disclaims all warranties related to the translations , express or implied , including any warranties of accuracy , reliability , and any implied warranties for merchantability , fitness for a particular purpose and noninfringement . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset
