id,layer,category,text,violation_type,law_statute,label,source_name,source_url,notes,needs_human_review
L1_1437,1,General Terms of Service,"2.6 if you access or download the application from the apple app store , you agree to apple 's licensed application end user license agreement . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1449,1,General Terms of Service,"headspace , inc. is located at 2415 michigan avenue , santa monica , ca 90404 . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_841,1,General Terms of Service,"you are responsible for obtaining and maintaining , at your sole cost , all internet devices and other equipment and software , and services necessary for you to access and use the service . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_586,1,General Terms of Service,"additionally , we may , in appropriate circumstances and at our sole discretion , suspend or terminate accounts of users who may be repeat infringers of third party intellectual property rights . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1257,1,General Terms of Service,"the services are provided `` as is '' and `` as available '' and to the extent permitted by law without warranties of any kind , either express or implied , including , but not limited to , implied warranties , conditions , or other terms relating to merchantability , satisfactory quality , fitness for a particular purpose , title , quiet enjoyment , non-infringement , or arising from a course of dealing . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1086,1,General Terms of Service,"if you believe that anything on or available through the services infringes upon any copyright which you own or control , you may file a notification of such infringement with our designated agent as set forth below : ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L2_86,2,Loan App / Fintech,"LazyPay was the only one of ten BNPL providers studied whose T&Cs contained no grievance redressal section at all (no email, phone, or nodal officer contact for complaints).",No grievance redressal mechanism,RBI Fair Practices Code,Medium-risk,"Dvara Research, 'The Costs of Using BNPL Products'",https://dvararesearch.com/wp-content/uploads/2023/12/The-Costs-of-using-Buy-Now-Pay-Later-BNPL-products.pdf,Verify LazyPay's current T&Cs -- this may have changed since 2022,False
L1_1093,1,General Terms of Service,16.3 the parties acknowledge that apple bears no responsibility for any claims that the use of the digital product infringes the intellectual property rights of third parties . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_425,1,General Terms of Service,"all subpoenas must be properly served on amazon.com , preferably by mailing the subpoena to corporation service company ( csc ) , amazon 's national registered agent . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1546,1,General Terms of Service,we will also update the `` last updated date '' at the top of these terms . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_499,1,General Terms of Service,"games , applications , software , services , portals , data and other content offered via the nintendo account service may differ from country to country . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_582,1,General Terms of Service,• that the vimeo service will meet your business or professional needs ; ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1443,1,General Terms of Service,"parties other than amazon operate stores , provide services or software , or sell product lines through the amazon services . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_588,1,General Terms of Service,"in some cases your payment date may change , for example if your payment method has not successfully settled or if your paid membership began on a day not contained in a given month . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_187,1,General Terms of Service,"no service content may be modified , copied , distributed , framed , reproduced , republished , downloaded , scraped , displayed , posted , transmitted , or sold in any form or by any means , in whole or in part , other than as expressly permitted in these terms and conditions . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_50,1,General Terms of Service,5.4 we may terminate your accounts upon a general suspension or discontinuation of the service . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1082,1,General Terms of Service,"duolingo may terminate your access and use of the service immediately at any time , for any reason , and at such time you will have no further right to use the service . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L2_46,2,Gig Contract,"Workers under ultra-fast (10-15 minute) delivery models reported that their performance ratings are reduced for late deliveries even when the delay is caused by external factors such as traffic signals, weather, or unsafe road conditions.",Penalty applied for factors outside worker's control,Fair Conditions / Fair Management principles (Fairwork),High-risk,"Goodreturns, covering nationwide gig worker strike, December 2025",https://www.goodreturns.in/news/zomato-swiggy-blinkit-zepto-amazon-other-platforms-delivery-workers-strike-today-on-31stdecember-new-1478918.html,This grievance was cited as a direct factor in a subsequent government-brokered agreement to drop the 10-minute delivery deadline (Jan 2026).,False
L1_159,1,General Terms of Service,you may end your legal agreement with twitter at any time by deactivating your accounts and discontinuing your use of the services . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_950,1,General Terms of Service,we make no warranties or representations that your use of content and information posted on the products will not infringe rights of third parties . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L3_105,3,Gig Contract,Platform reserves the right to deactivate gig worker account immediately without issuing notice or disclosing reasons. Enforced in all operating regions.,Arbitrary deactivation without notice,Karnataka/Rajasthan Gig Worker Acts,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for Gig Worker Legislation,False
L1_1038,1,General Terms of Service,we 'll try to resolve the dispute informally by contacting you through email . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_862,1,General Terms of Service,"by using the service , you consent to the terms of the privacy policy . ",Unfair Contract Terms,CLAUDETTE Benchmark (Unfair TOS),High-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L2_17,2,Gig Contract,"Platform excludes liability for direct, indirect, contractual, and tortious damages under virtually all circumstances, even where it was advised such damages were likely.","Blanket, unconscionable liability exclusion",Indian Contract Act 1872 (unconscionable terms),High-risk,MediaNama deconstruction of Ola/Uber T&Cs,https://www.medianama.com/2017/04/223-uber-and-ola-terms-conditions/,,False
L1_1687,1,General Terms of Service,"evernote provides the service to you on the condition that you accept the dispute resolution provisions described below , so if you initiate any claim against evernote in any other manner , you shall be in violation of these terms and you agree that evernote shall be entitled to have such action dismissed or otherwise terminated and you agree to reimburse evernote for its reasonable costs incurred in defending against such improperly initiated claim . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1602,1,General Terms of Service,"oculus will have no responsibility or liability for inaccurate information or information that later becomes outdated , and oculus will have no obligation to make efforts to determine the correct contact or delivery information . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1522,1,General Terms of Service,"if you purchase through one or more of our bundle subscription partners , the purchase may be further subject to the terms and conditions of such partners , and payment and management of the bundle subscription may be administered by them . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_417,1,General Terms of Service,"we may at any time and from time to time , in our sole discretion , change the fees and charges , or add new fees and charges , in relation to any of the products . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1041,1,General Terms of Service,"22.2 no joint venture , partnership , employment , or agency relationship exists between you and airbnb as a result of this agreement or your use of the airbnb platform . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1016,1,General Terms of Service,"except as may be required to register and/or maintain your account , do not submit personally identifiable information ( e.g. first and last name together , password , phone number , address , credit or debit card number , medical information , e-mail address , or other contact information ) on the service . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_188,1,General Terms of Service,the icc rules ' emergency arbitrator provisions are excluded . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1012,1,General Terms of Service,( d ) the products are not intended for your commercial use . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1312,1,General Terms of Service,in order to access certain features of the site and services and to post any member content on the site or through the services you must register to create an account ( `` account '' ) and become a member . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1694,1,General Terms of Service,you 'll keep your password a secret . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L3_49,3,Loan App / Fintech,Platform strictly prohibits registration of individuals under 18 and does not process data of minors. Subject to regulatory audit.,Compliant protection of minors,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §9 (Processing of Children Data),False
L1_22,1,General Terms of Service,snap group limited terms of service ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L3_39,3,Loan App / Fintech,App only requests essential permissions required for one-time KYC verification (camera for document capture and location for geo-tagging). Subject to regulatory audit.,Compliant data minimisation,DPDP Act 2023,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for DPDP Act 2023 §6 (Data Minimisation),False
L2_37,2,Loan App / Fintech,App does not enable or clearly communicate a mechanism for the borrower to request deletion of their personal data after a loan is repaid or the app is uninstalled.,No data deletion mechanism,DPDP Act 2023 (right to erasure),High-risk,ExpertPanel DPDP fintech guide,https://expertpanel.org/blog/dpdp-act-fintech-lenders-india/,,False
L1_351,1,General Terms of Service,"you may choose to have the arbitration conducted by telephone , based on written submissions , or in person in the county where you live or at another mutually agreed location . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_941,1,General Terms of Service,"the fitbit service is not intended to diagnose , treat , cure , or prevent any disease . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1283,1,General Terms of Service,only your physician or other health care provider can do that . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L2_5,2,Gig Contract,"Commission structure and contract terms are presented to restaurant partners on a take-it-or-leave-it basis with no room for negotiation, according to CCI's investigative findings.",Unequal bargaining power / one-sided terms,Competition Act 2002,High-risk,CCI Case No. 16 of 2021 (Zomato & Swiggy),https://www.cci.gov.in/images/antitrustorder/en/1620211652180990.pdf,,False
L1_1057,1,General Terms of Service,you may not misuse the amazon services . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_2027,1,General Terms of Service,4.3 our right to reject your order . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_467,1,General Terms of Service,"except as provided in section 19.12 and subject to section 15.8 , this section 19 will survive any termination of these terms and will continue to apply even if you stop using the airbnb platform or terminate your airbnb account . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1799,1,General Terms of Service,"snap group limited , snap inc. , and their affiliates take no responsibility and assume no liability for any content that you , another user , or a third party creates , uploads , posts , sends , receives , or stores on or through our services . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_132,1,General Terms of Service,you agree and understand that linden lab does not control and is not responsible for information you provide to parties other than linden lab . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_285,1,General Terms of Service,the terms of sale are incorporated into and made a part of these terms . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1307,1,General Terms of Service,( e ) our `` forever '' subscription is paid for by a one-off upfront payment . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_867,1,General Terms of Service,"disputes : any action arising out of or relating to this agreement or your use of the vimeo service must be commenced in the state or federal courts located in new york county , new york , united states of america ( and you consent to the jurisdiction of those courts ) . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_215,1,General Terms of Service,"our right to amend the user agreement includes the right to modify , add to , or remove terms in the user agreement . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_631,1,General Terms of Service,"posting , sending or otherwise making available via nintendo account service any content that infringes the rights of others , including any patent , trademark , trade secret , copyright , privacy rights , portrait rights or other intellectual property or proprietary rights ; ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_408,1,General Terms of Service,"6.2 your access to the products may be occasionally restricted to allow for repairs , maintenance or the introduction of new facilities or products . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_954,1,General Terms of Service,"director , partnerships and business development ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L3_108,3,Gig Contract,Platform provides a minimum 14 days written notice specifying objective grounds and an appeal process prior to account deactivation. Pursuant to updated statutory terms.,Compliant deactivation notice,Karnataka/Rajasthan Gig Worker Acts,Low-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for Gig Worker Legislation,False
L1_1297,1,General Terms of Service,the termination of a part of this agreement may limit your use of selected applications and functionalities of the nintendo account service . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_316,1,General Terms of Service,"in such event , you will not be entitled to compensation for such suspension or termination , and you acknowledge that linden lab will have no liability to you in connection with such suspension or termination . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1097,1,General Terms of Service,"7.6 each time you submit user material to us , you represent and warrant to us as follows : ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L2_75,2,Gig Contract,"Investigative report found that when Dunzo shut down in Jan 2025, hundreds of delivery workers, employees and vendors were left unpaid; the company had also stopped depositing TDS deducted from workers' salaries to the government starting mid-2023.",Non-payment of wages/dues,Code on Wages 2019; Payment of Wages Act 1936,High-risk,Rest of World,https://restofworld.org/2025/dunzo-shutdown-india-quick-commerce/,Solid investigative piece; corroborate specific rupee figures if used,False
L1_952,1,General Terms of Service,"we both agree that all of these claims can only be litigated in the federal or state courts in santa clara county , california , usa , and we each agree to personal jurisdiction in those courts . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L3_113,3,Gig Contract,Algorithmic penalties for late delivery may exceed 50% of daily earnings at sole platform discretion. Pursuant to updated statutory terms.,Uncapped algorithmic wage penalty,Fair Conditions / Code on Wages,High-risk,RakshakAI Synthetic Generator (Layer 3),internal://synthetic_layer3,Synthetic clause generated for Gig Worker Legislation,False
L2_23,2,Gig Contract,"In the 2023 assessment, only 6 of 12 platforms (bigbasket, Flipkart, Swiggy, Porter, Urban Company, Zepto, Zomato) provided accessible, comprehensible, and where relevant multi-lingual contract terms with advance notice of changes — implying the remaining platforms did not meet this standard.",Inaccessible / non-transparent contract terms,Fair Contracts principle (Fairwork India methodology),High-risk,"British Safety Council India, summarising Fairwork India 2023",https://www.britsafe.in/safety-management-news/2023/a-tough-gig,,False
L1_782,1,General Terms of Service,"bullies , harasses , or intimidates . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1238,1,General Terms of Service,"( b ) to the extent permitted by law , headspace and its affiliates , suppliers , clients , or licensors ( collectively , the `` protected entities '' ) shall not be liable for any consequential , exemplary or punitive damages arising from , or directly or indirectly related to , the use of , or the inability to use , the products or the content , materials and functions related thereto , your provision of information via the products , or lost business or lost sales , or any errors , viruses or bugs contained in the products , even if such protected entity has been advised of the possibility of such damages . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_775,1,General Terms of Service,"your purchase will be subject to google 's applicable payment policy , which also may not provide for refunds . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1673,1,General Terms of Service,you are responsible for reading and understanding the terms and conditions and privacy policy that applies to your use of any third-party services . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1736,1,General Terms of Service,"please note that if a third party account or associated service becomes unavailable or academia.edu 's access to such third party account is terminated by the third party service provider , then the third party account content that was available from such third party account will no longer be available on and through the site and services . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_848,1,General Terms of Service,"use the airbnb platform or collective content for any commercial or other purposes that are not expressly permitted by these terms or in a manner that falsely implies airbnb endorsement , partnership or otherwise misleads others as to your affiliation with airbnb ; ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1744,1,General Terms of Service,"13.3 you understand that any appropriate governmental agency , department and/or authority ( `` tax authority '' ) where your accommodation is located may require taxes to be collected from guests or hosts on listing fees , and to be remitted to the respective tax authority . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1280,1,General Terms of Service,"you hereby consent to the exclusive jurisdiction and venue of courts in massachusetts , usa and stipulate to the fairness and convenience of proceedings in such courts for all disputes arising out of or relating to the use of this website . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_459,1,General Terms of Service,"use any robots , spider , crawler , scraper or other automated means or processes to access , collect data or other content from or otherwise interact with the airbnb platform for any purpose ; ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_506,1,General Terms of Service,a printed version of this agreement and of any notice given in electronic form shall be admissible in judicial or administrative proceedings based upon or relating to this agreement to the same extent and subject to the same conditions as other business documents and records originally generated and maintained in printed form . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1527,1,General Terms of Service,"twitter gives you a personal , worldwide , royalty-free , non-assignable and non-exclusive license to use the software provided to you as part of the services . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1883,1,General Terms of Service,"depending upon your age and the age requirements set forth in an applicable product policy , registration may require parental consent . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_242,1,General Terms of Service,any relief awarded can not affect other users . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_2006,1,General Terms of Service,"if noe offers a license for a digital product for download and use on a nintendo 3ds system or wii u console for purchasing in nintendo shopping services , a nintendo network id is required and the license for the respective digital product is registered and tied to your nintendo network id . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1832,1,General Terms of Service,you agree that oculus and its affiliates shall be able to use the feedback in any way it may choose without any obligation to you . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1117,1,General Terms of Service,academia.edu makes no representations or warranties as to the conduct of users of the site or services or their compatibility with any current or future users of the site or services . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_1328,1,General Terms of Service,the services and all rights therein are and shall remain uber 's property or the property of uber 's licensors . ,Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
L1_822,1,General Terms of Service,"12.1 airbnb may , in its sole discretion , round up or round down amounts that are payable from or to guests or hosts to the nearest whole functional base unit in which the currency is denominated ( i.e. to the nearest dollar , euro or other supported currency ) ; for example , airbnb will round up an amount of $ 101.50 to $ 102.00 , and round down an amount of $ 101.49 to $ 101.00 . ",Compliant Term,CLAUDETTE Benchmark (Unfair TOS),Low-risk,mteb/UnfairTOSLegalBenchClassification,https://huggingface.co/datasets/mteb/UnfairTOSLegalBenchClassification,Pretraining benchmark dataset,False
